content,score
ضعو اللغة العربية عند التقييم,1
Very Nice but not to punctual,2
Application fechla w ghalta,0
C mediocre,0
شركه حراميه و نصابه حسبى الله ونعم الوكيل مصاريف الشحن خزعبليه,0
Waw,2
Temchi en Algérie wla ha ntl3ha fi batel ,1
Problème frais livraison trop chère,1
مرضيه جدا,2
Arnaqueurs.,0
YEAH  Y,2
caca,1
مووووووووووووش نوووووووووووووووووووووورمااااااااااااااااااااالللللللللل,2
Supeeeeeer application,2
"Jusque là je suis satisfaite de vos services Je dis grand merci a tout le 
personnel de Jumia mais surtout a ce lui qui a financé le projet JUMIA. Je 
voudrais une voiture et une machine a sceller les Saches deau .Je",2
"1. Produits de mauvaise qualité,  2. black friday c une arnaque,  3. la roue ne marche pas sur mobile 4. Vous passez une commande de 6 articles on vous livre des livraisons partielles.",0
موقع فاشل وكله اشتغالات لما بيعملوا تخفيض يوقفوا خدمه فوري ونيجي نكلمهم يقولوا هتشتغل بكره عشان التخفيض ينتهي,0
تطبيق رائع لاكن للأسف لايوجد فيه اللغة العربية الرجاء ادخال العربية في تطبيق #اخوكم من الجزائر,1
ممتاز وبسيط بس رسوم الشحن زيادة,1
كيفاش نلعب الستاج 4 ما باش يتحل.,1
الضحك على الدقون الجمعة الكادبة نفس الاضحوكة كالسنة الماضية,0
La3ba rzina ki wjouhkom,0
Application cood,2
تحياتي لعملاء جوميا خدمات جيد ومساعدة عند طلب ,2
"si vous pouvez arrêter de nous livrer les articles des misérables boutiques c,est encore mieux ou soit testé les avant de nous envoier des bêtises soit disant article",0
"nz ,%",1
C7 cool,2
كذابين بتحمل جووميا بلاك فريداي تطلع لك جوميا حقت مصر,0
products assez bon,0
Bonne et facile app,2
17,2
pro... tout court... jaime beaucoup.,2
Nul escroquerie ya oas black friday juste des monteurs je tr donne 1/10,0
Cool lappli,2
طلبت كوتش وجه شكل تاني خالص,0
depuis quelques temps nous ne pouvons plus supprimée no propre annance un message saffiche soi-disant que la supretion a êtes faite mai réellement rien ne sefface lannance et toujours la malleuresement autre fois elle a été formidable cette application,0
تطبيق رائع الله يبارك فيك,2
ياريت تكتبو معلومات السلعه بالعربي بدل الانجليزي,0
Jarrive pas à payer mes factures,0
Vos remises sont fictifs . plus sérieux svp.et appliquer la vente par facilité comme tous les autres sites.,0
ولي بيع حاجات أنمي كيما عدسات الأعين و مبدع نحكو,1
Nul.. Aucun suivi par le développeur de cette application.. Lisez les commentaires bande descroc. Je paye pkus que 30 dinars par ans pour que je bénéficie de cette maniac pffff,0
Bonne application facilitant un shopping en ligne,1
bien,1
Écran blanc rien ne saffiche après de mettre le nom dutilisateur et le mot de passe,1
Un très belle application formidable pour téléphoner,2
العمل بهذا التطبيق عادي,1
ولاية الجلفة غير موجودة من ضمن ولايات الجزائر عند طلب توصيل البضاعة ...حينما تريد تقديم الطلب لن تجد ولايتك ...أرجوا إضافتها في طلبات التوصيل وإلا فتطبيقكم يستحق أقل من نجمة,0
Depuis la mise à jour vers la version 6.0 dAndroid lapplication naccepte plus lauthentification. Message derreur Mot de passe incorrecte toujours affiché,0
تطبيق رائع للغايه ,2
تطبيق رائع أتمنى أن تكون السلع مثله,2
لازم يكون في تعويض لمنتجات البايظة والضنان,1
Il se bat mais beaucoup deffort encore proposez des articles dorigine comme amazone où alibaba,0
Depuis la dernière mise à jour ça marche plus. Jouvre lapplication elle demande la nouvelle version malgré que je viens de le faire. Jai essayé de la supprimer puis installer de nouveau mais le même problème.,0
Je veux la version en français . Jai voulu revenir vers Orange mais il ny a pas compétences .paramètres nuls,0
Franchement déçu. Que de publicités mensongères,0
Cool application,2
يع هههههههه امزح معك والله,2
J aime jumia très bonne appli Jai effectué plusieurs achats ici Surtout mes téléphones portables,1
Les frais d expédition sont trop cher,1
Djoua Mbappe moïse,1
Lapplication ne fonctionne pas dès que je la lance jaurais une page blanche et se nest pas un problème de connexion,0
tiooooooop,2
Bonne avec quelques détails raté mais pas mal,1
Juste moyenne,1
فية شوية لخبطة كل ما بيجي عل الايميل كود خصم ادخل علي التطبيق استخدمها بديني الكود غير صالح مش عارف العيب في التطبيق ولا اكواد فشنك الدعايا وبس,1
Jaime.,1
Impossible de commander Plusieurs articles de létrange.,1
Jaime bien faire mes achats,2
ليه البرنامج مش بيشتغل غير على الداتا الواى فاى  مش بيشتغل,0
Les jours délais de livraison ne sont pas trop respectés.,1
"Une tout petite déception à la livraison dune marchandise que jai vue et apprécié, puis commander mais à la réception jai reçu un article différent de ce que jai commandé la qualité, la taille, que je nai pas apprécié",0
cest un application très joli,2
Les meilleurs produits sont expédiés de létranger ce qui entrave la commande de ces produits précieux. Proposons quil y ait un échantillon expédié en local pour chaque produit.,1
Pas assez de produits niveau de vêtements il ya a se plaindre des choix et les prix commence à grimper au gîte et a mesure,1
vraiment .j ai pris un seul article mais en général je le trouve bien.a condition quil reste à la disposition du client.merci,2
merc iBT,1
ممتع ومثمر واشكرهم,2
pas satisfaite,2
هو يستهل ٥,2
في مدرسة 2 مارس السواسي يوجد 4 اطفال يحملون نفس اسم ابني لذلك يتعذر علي الحصول على نتائجه الرجاء مراجعة الموقع وإضافة خانة اسم الولي و سنة الدراسة والقسم لمزيد الدقة وشكرا,0
Mauvaise qualite,0
led cocottes minutes sont trop légères et mal finies,0
Vous ne méritez même pas 1 étoile.Escroquerie. Des prix foux . Un produit qui coute pas plus de 2000 da mentionné à 2800da après une réduction de 30% . Les offres vente flash cest de larnaque.,0
أريد إسترجاع المنتج و طلبية ليست كما تبدو,0
Fait de son mieux,1
رجعت واحد السبرديلا او ماخديتش الفلوس ,1
 jaime cette appli,2
هبال,1
ال,1
Design et ergonomie,0
La roue de chance est toujours perdue,1
برنامج رائع وممتاز جدا بواسطته تستطيع الشراء وأنت فى منزلك,2
Fiabilité mais les délais de livraison sont trop long,1
il consome trop dénergie,1
trop cher en plus les les produits sont de qualité douteuse,0
لماذا التطبيق لايعمل,2
لن اعطيه اية نجمة هوا لا يستحقها نزلت تطبيق ولكن مافيهش البلادان يلي انا اريده ولا مكان اقامتي ولا اي شي غير لبلادان الخارجية عن الجزائر اضيفو ولاية الجزائر ومايجاورها انصحكم ماتنزلوه هوا بتعب كثير,0
Nuuuuuuuuuul et des voleurs,0
اثمنةة جد مرتفعة مقارنة مع السوق المباشر,0
Vraiment utile pour lhomme pas besoin de se déplacer top,1
انا طلبت منتج عيوصلي,1
Very niçe,2
Satisfaite,2
jai eu des soucis avec les produits de Jumia au début mais jespère ne plus être déçue,1
Satisfaction totale pour le moment,2
"jumia global payé avant dêtre livré ,revoyez ça",1
Op0,2
La livraison nest plus rapide comme auparavant. Ou on informe pas lorsque le produit manque.,1
الشحن مبالغ فيه جدا يعني قيمه الشحن اغلي من قيمه المنتج انتوا كده ناس بتهزر قال وايه كل قطعه ليها شحن لوحده مع انه نفس الاوردر ده نصب مش تجاره,0
أحسن حاج وتجع المنتخب تونس,2
التحديث القديم اسهل فى عرض المنتج والمنتجات المشابهة ارجو اعادة التطبيق بدون التحديث وشكرا لكم,0
كذب كثر من صح,0
"Jai découvert beaucoup de bonheur avec jumia, mais cest malheureux les commandes sont mal gérées à cause de lincompétence de certains livreurs. Et la pluspart du temps les clients ne recoivent pas leurs commandes. Quelle frustration  ",0
شكرا جزيلا ...تطبيق جيد,2
Lapplication est bonne mais les livreurs nont pas gentil à chaque fois et je sais pas pourquoi.,1
بجد برنامج رائع,2
Super appli jvous la conseille,2
Votre mercon et allez vous faire foutre. Quand vous faites vos vente ou quoi tâchez de ne plus menvoyer vos annonces. Parce que je ne sais pas à quoi ça sert de faire la pub de produits quon ne pourra ni voir ni acheter cordialement vous êtes des vendu.,0
C facile juste monque de choix m c bien wllh,1
تطبيق جيد جدا وسهل الاستخدام,2
بسم الله الرحمن الرحيم يا جماعه انا وقعت في مشكله كبيره كبيره ي يا جماعه انا دلوقتي كنت قاعد مع صديقي كنت صديقي دخل على البرنامج ادخل بياناتك كلها بياناتي كلها كلها والله انا ما كنت اريد شيء بس كان هو يريد  ان يمزح معي بس انا مكنتش اريد حاجه وصديقي مساحه البرنامج خالص من على الجهاز هو هو ادخل بيانات انا لا اعرفها انا مش عايز المنتجات ايه من الاخر كنانه,1
"C bien, il y a beaucoup darticles mais les prix sont chère",1
Trés trés male,0
رقمكم خارج مجال التغطية,2
Lapplication est compliquée. On ne peut pas inscrire soi-même son adresse. Les lieux indiqués ne correspondent pas forcément aux habitations des clients. Les points relais sont de plus pratiquement indisponibles alors que cest plus simple pour nous de recevoir nos commandes au contraire de la livraison à domicile. Merci,1
"Application très intéressante, et aide presque tous les utilisateurs de communiqué",2
Le délais dattente devient de plus en plus long,1
"اشتريت منتج وطلع اللون غلط وبقالي اسبوع ومحدش عبرني في طلب الإرجاع وعملته 
اكتر من مره للاسف مفيش مصداقيه ومش نشتري منهم تاني سوق دوت كوم طلعت احسن 
بكثير وفيه اهتمام كبير بالعميل وارضائه",0
voiture mahidra tte option annee 2015 en bon etat prix 17 500d n tele 97251 027 ville gabes,0
Yna3n zok omik ya orange 5atir mafamach lo8a al 3arabiya ya3tikoum 3aaaaaaaaasba 9ad rasik ,0
تمام كويس,0
أحسن موقع للتسوق عبر الإنترنت في المغرب,2
Love cava ....,2
خدمه جميله بأسعار مميزه,0
العجلة دارة مرتين أكهو و شكتت آه,2
Cest très bien de pouvoir faire du shopping et du bon en ligne.,1
bon service de vente en ligne..mais il se trouve que vous avez parfois des livreurs discourtois et des articles qui nont rien avoir avec les images proposées en ligne..et c est décevant par moment,1
bravau,2
Pour MOI je LUI donne 3 /5,1
العابمسدسات واgاامورءولبمببب,0
Bb ooredoo,2
bon moi ca me plaît pas trop parce quon ne revoit que les mêmes choses tout le temps,2
حقيقي اسووووء تجربة في حياتي انا عمري ما لاقيت شركة بالوضع ده ابدا طلبت الاوردر والمفروض طان يجيلي بعد 4 ايام والمندوب كلمني وف اليوم اللي المفروض يجي فيه اعدت مستنيه اكتر من 5 ساعات ولا حد جه ولا حد حتس اتصل يعتذر ولا يأجل معاد الاوردر اللي اساسا مينفعش ان شركة محترمه تأجلو ده غير اسلوب المندوب وف الاخر يتقالي ان المندوب اتغير عشان كده مجاش طب فين انا بقي انا متبلغتش ليييه واعد مستنيكو علي اساس ايه بجد شركه وحشه اوي انا فعلا ملقتش شركة اسوء من كده,0
ممتاز بس الشحن غالى شويه,2
Bon dpuis Lors jr n arv plu a faire des achat ou ds commende,2
تطبيق جيد بدرجه جيد,1
Julia est très disponible pour ses clients . Merci,2
Lapplication est bien mais votre service client nest pas fiable.. les livraisons avec point de relais sont un échec.,2
جميل والله وسلس بس محتاج يضبط شويه لإن في حاجات كثير وبتوه,2
Tops bien,2
très bonne application ,2
بلاك حشوا,0
Just 7abitt nsalem 3ala tunisiana twa7achtha,2
verset 7,1
Bonne application......,2
il faut verifier la detection de postion,2
Le service est super nul.Apres reception d un produit defectueux et de  l avoir deposer ds leur centre j att depuis une semaine alors que sur leurs site ils affirment un remboursement dans les 48h,0
Wilane,0
روعه,2
9 Ok b1 dk nhalou group,1
انا طلبت تليفون من الموقع وقالى التوصيل هياخد من ٢:٦ايام وانا محتاجة ع الجمعة بالكتير فهل يمكن تعجيل التوصيل ارجو الرد السريع مع العلم ان نفس التلفون كان ع موقع سوق دوت كوم بنفس السعر وبدون رسوم توصيل وفوقت اقل فارجو الرد عشان لو هشترى من مكان اخر,1
Nice ,2
j ai acheter un smartphon mais j ai trouver q il nest pas dorigin et quand je voulais le rendre ils ne voulaient plus,0
انا اشتريت حاجه وصلتني واستلمت وكله كان تمام ليه لما بقيت احب اشتري حاجه واطلب الدفع عند الاستلام يترفض,2
حاجة باهية وقت الحجر شنوا ساعات حاجات تلقاهم repture de stock وقت تجي تشريهم,1
أكثر من رائع,2
Ça marche,1
Je narrive pas voir les articles puisque rien ne souvre et jenlève 2etoile,1
ممتاز جداجداجدا,2
ليش مكتوب ان الشحن مجاني وهو لا,1
تطبيق فية كل ما تتمناه وقمة الروعة,2
هل في كاش,0
Mosta........... Tob,1
معلش ليه مينفعش الدفع كاش,1
خدمات تمام  ,1
cette une bonne appli,2
superbe,1
تطبيق فاشل فاشل كل يوم ارجع غدوا مفماش ربح اللي فيبالو بش يربح ينساه الموضوع ما تصبوهاش كذب في كذب والله يكذبو,0
Trop bien surtout avec les offres Black Friday,2
Vraiment hadi jumia yasar9o el hadja li tachriha machi hia wala itawlou sara9in bzffff,0
"Bon et satisfaisant,mais donner les prix en franc cfa",1
Abidjan yopougon rue princesse en face du shangaï,2
شركة محترمه جدا,1
ممتاز ونتمنى لكم التوفيق,2
lapplication permet de faire ce quon veux sans un soucis. merci Jumia,1
Gmail,2
شيء جميل جدا شكرا جوميا و ربحونا شويه عشان تكون أحلى و إشتري أكتر حجات,2
"Je narrive plus à lutiliser, dès que je clique sur licône, on dit que lappli a cessé de fonctionner. Jai mis à jour et cest pareil",1
ممكن تعطيوني قسمة شراء,2
رائع ولكن بعض الاشياء لاتتوفر به,2
Permettez a tout le monde davoir accès au black fridays merci,1
cest nest pas la BH si tout va bien avec vous que des problèmes vous ne faites quarnaquer les gens si au moins vous étiez professionnels,0
cooooooooooooooooleeeeeeeeeeeeeeee,2
Si on oublie le mot de passe ,0
Lapplication se plante régulièrement avec comme message : nous navons pas pu rafraîchir vos données.,0
livraison à temps,2
"Je suis vraiment très déçue de léquipe jumia. Jai passé une commande après modification dadresse, on menvoi un mail avec lancienne adressse, je les appelle on me répond après plusieurs appels ou on me raccroche au nez on me dit que ladresse a été modifiée et quand on veut me livrer on le fait à lancienne adresse, depuis dès que jappelle on me raccroche au nez .. je veux juste me faire rembourser je ne veux plus rien deux à part mon argent.",0
سمحولي بصح وعلاش راهو يكتب لا يمكن تحديث المحتوى,0
"Très soft, facilement utilisable",1
Super sauf que vos tarifs de frais de livraison font que je commande moins maintenant.,1
تطبيق رائع  لكن أرجو ان يكون بمستوي تطبيق aliexpress,2
Dites moi SVP. Quand je fais une commande. Vous me renvoyer au panier. Ce nest pas normal. Je suis un client assidu. Alors de grâce qand je fais une commande ne me la jeter pas à ce maudit panier.,0
Faut mettre une option pour les reclamations ,0
"Plus ou moins satisfaisant, continuez.",1
سهل جدا في الشراء,2
في تحسن,2
السلع كلها رديىة فقط علامة جوميا يعني نفهم انها لم تباع في الواقع وتحاولون بيعها هانا ام ماذا,0
Machalla,2
on me dit toujours vous êtes extrêmement nombreux sur lapplication de réessayer plus tard,0
تجربه زى الزفت اشترين كاتل واستلمته الفيشه محروقه ورجعته وعلشان أخد الفلوس اشتريت واحد تانى أغلى واتحرق بعد شهر واشريت وأحد كلاترونك مكتوب فى المواصفات أنه المانى ولما استلمته وجدته صينى.بصراحه خدمه زى الهباب ومفيش حد تتكلم معاه لو انتوا عايزين تبقى شركه محترمه زى سوق كلمونى أنا كتبت بس أنى زعلان مندوب من سوق كلمنى واعتذر وعمل أحسن خدمه.اما انتوا اخطف وأجرى وسوف يكون مصيركم الفشل,0
حدك ح دكدككحك قصص ةر3كدكدكك,1
والله العظيم هاذي أكبر خدعة من أوريدوحذاري أيها الأخوانكلما تدخل في الصفحة وتدور العجلة تطلعلك أرجع غدوةيا اللهمننصحش باهااللهم أشهدتطبيق لتحيل,0
الشحن اصبح غالى جدا ارجو تعديل الشحن,1
اللم ينعلكم ياكذبين,0
مش عايز ينزل كل ما يجي يتثبت مينزلش,0
الكذب على الزبناء,0
Tooooppppppppp,2
Esque ya la livraison 48 wilayas ,1
شكرا على حسن تعاونكم معنا,2
cest du concret et du professionalism pourquoi je narrive jamais oui au grand jamais a faire achats sur vos flash quand je fait la page rest inet rien ne mâché cest quand la vente fini que vous activité ma page Ou vous le fait en famille ou koi,1
Vaut mieux développer une application avec un service dauthentification avec un login et mot de passe.. mais cest bien pour un service comme celui là pour les personnes qui ne savent pas les code USSD dorange : bonne continuation,0
Kadhebin sore9 nik om om omkom,0
merci beaucoup vous êtes super jai mis 4 à hausse de lappli elle bugs,2
خدمة التوصيل و التواصل مع الزبائن جيدة اما سعر المنتوجات يجب ان يعاد النظر فيه,1
"Jumia nest plus ce quelle était lorsque je my suis abonnée. Les prix sont de plus en plus exorbitants, certains produits ont sauté de plus de 50% en espace de 3 mois. Je comprend les troubles de livraisons à cause du Corona, mais certaines hausses de prix aberrantes savèrent malheureusement décourageantes pour moi et la plupart des articles qui mintéressent ne me sont plus abordables comme ils étaient avant. Cela dit, merci Jumia, car elle a beaucoup changé ma vie après tout.",1
you are the best,2
براڤو جوميا,2
En constante évolution... Cest bien,1
برنامج رائع و مصداقية في التعامل شكرا شركة جوميا,2
A voir avec le temps,1
Cest facile mais pourquoi ne pas faire de cadeau au meilleur client,1
Cest pas mal il peuvent faire mieux,1
satisfais des articles,1
انه جيد جدأ,2
منافقين,0
Chlef non disponible,1
تطبيق ممتاز في المحتوى والمضمون,2
حلو بس فيه عيب واحد بختار كذا حاجه ومش بتيجى مع بعض بيجيبو طلب طلب,1
cest bon et efficace,2
kadaba o nasaba,0
فلوس التوصيل كتير جداااا,0
Bain,2
السلام عليك,1
t3adi rou7a,1
Un peu difficile mais cest bon,1
سوء معاملة وعدم مصدقية تم عمل الاوردر وبعد ارسال ميل بشحن المنتج اليوم التالي يتم الغاء الطلبات وعند التحدث لخدمة العملاء يتم الرد بأنه تم الالغاء واحنا مجرد وسيط بين التاجر وبين المشتري ,0
Oho,2
Jumia 3chirti ,2
aucun menu resto disponible au quebec,0
Très cher,1
برنامج سيء للغايه وياريت حد من مشرفين البرنامج يكلمني,0
Tijenichhiditijenichhidi.@ Gmail com,2
Clair et fiable  .,2
Je narrive pas à accéder au panier après avoir choisis la commande et quand je retourne à la page ou il ya les resto je trouve 0 dans le panier,0
التطبيق جميل وعملي جدا بس مشكله مافيش الشحن المجاني عندا شراء بمبلغ كبير ليه كده مش زي سوق كوم,1
هية زوينا ولكين شحن غالي بزاف,1
Cette semaine ça bloque beaucoup,2
Bad apk,0
احسن سعر في مصر,2
Cool mais mets souvent dans le doute,1
Passably,2
BRAVO MERCI,2
اضيفو رجاء ورقلة الى الولايات التي يمكنها الشراء,2
Les prixs ,0
Comme tout lmonde jai perdu confiance en vous,0
"لقد سبق لي أن اشتريت منكم هاتف.وفي الأخير قلتم انتهى.كان عليكم قول ذلك في . 
بعد اعتذار كم . نشكر كم  على تفهمكم.والبداية من جديد.اعتبرونا من زبناءكم. 
تشكراتنا لكم. والسلام",2
J ai commandé quelques chose et se n ai jamais venue,0
il ya juste quelques Petit point a amélioré,1
تطبيق جمييل جدااااا,2
Cool  très pratique ,2
ااممعع,2
مو منيح وش ذا اشياء bts للجزائر مافي حيوانات والله ماشتري لو ايش,0
انا بقالي اسبوعين بعمل في اوردر بتجيلي رساله انه تم الطلب بنجاح وان المندوب هيتواصل معايا وبعد كدا تيجلي رساله انه تم الغاء الطلب افهم من كدا ايه مع العلم اني مش اول مره وانه جه في العنوان اللي انا في كذا مره وللاسف محدش بيتصل يوضح في ايه بظبط,0
لما توصل الطالبات اللي,1
00000 و الخدمات 00000 top net اندمت كي عملت اشتراك معاكم,0
application formidable ...jaime sa description précise sur ses produits...prix abordable....merci jumia,2
حجاتهم كويسه,1
bonne.absence de renouvellement des tailles et pointures,1
تافهة,0
Jaimais bien commande des articles tel le lait et autre et je payais toujours a la livraison mais depuis quelque mois on me demande de paye avant detre livre depuis lors jai plus fait de commande,0
"Un peu lent,",1
bein,2
après mise a jour lapplication ne marche plus ...,0
pour quoi a chaque fois lapplication elle désactive toute seule,1
Plus quune heure dattente pour larrivée du chauffeur ,0
Je suis vraiment fière de JUMIA,1
Bon mais un peu cher,1
Pourquoi vous demandez dinstaller lapplication aulieu de lancer les produits et leurs prix sur les réseaux sociaux comme les autres magasins,1
Moi je ne suis pas entièrement satisfaite. Javais demandé un produit et on mavait livré un autre et quand jai réclamé on mavait fait tout un scandale,0
Khorti,0
Nimporte quoi  Je désinstalle et je me désinscris,0
من التعليقات منزلتوش الصراحه,0
مصاريف الشحن غاليه جدا مقارنه بسوق كوم,1
"Pour lheure,cest la meilleure parmi les meilleures de toutes les applications. Je crois que ça continuera quelques soient vents et marées,parce quavec les commerçants on ne sait jamais",2
عروض بلاك فريدي نصب وكلة خصومات وهمية,0
Cest bien en joue avec une chance,1
ممتاز بس ياريت مصاريف الشحن تقل شويه,2
حلو جدا بس انا عملت اوردر لحجتين من نفس المنتج ليه ادفع مصريف شحن لكل منتج,1
تقييم ممتاز,2
انا من الجزائر وطلبت و لم يصلني طلب في الوقت محدد تأخرات كبيرة في توصيل و أعذار كثيرة,0
Good Job,2
"bonjour :facilitant les démarches dachats, jumia nous aide déjà. je veux juste inciter sur les commandes, les informations, images sur les produits , il faut quil y ait une conformité. merci beaucoup",1
Jusqua la jumia ne ma jamain deçù,2
Jaime la facilité de la recherche et les détails sur les articles qui permettent de mieux cerner loffre avant lachat.,2
Assez satisfaite,1
enkk,0
je ne peux pas bien filtrer,0
تطبيق عصرى ممتاز جدا,2
متجر اكثر من جيد,2
ثمن الشحن غالي كنت بتعامل معكم بس حاليا مع سوق كوم مصاريف الشحن ارخص وده المطلوب,1
Escroquerie,0
220 جسر السويس,0
tres bonne appli je fais des achats par moment mais ce que jai pas aimé avec jumia ce sont les frais de livraison pour un article acheté ils ont un prix de livraison et quand tu achètes plusieurs articles les frais de livraison augmente,1
"Les articles ne sont pas ce à quoi je mattendais à la livraison par rapport aux photos visualisées. Et ça ne tarde pas à être défaillant. Je ne suis pas satisfaite de certains articles. Mais dans lensemble cest bon car le service est toujours disponible pour nos préoccupations, et avec Jumia, ce nest plus la peine de chercher loin. Il se charge à ce que nous soyons au final satisfait.",1
Zerooo,0
application ماتقدم حتى فائدة كعبة لا شي ماجت,0
أقسم بالله انهم أهل الثقة وجودة ممتازة. لكم مني جزيل الشكر والتقدير,2
النصب و الإحتيال,0
réseaux 0 avec de mal pour capter,1
26 % هبال هذا,0
Cest vraiment nul pas mal doptions qui disparaissent comme par exemple le secteur de recherche le version avant mise a jour beaucoup mieux,0
Bon moi jaime beaucoup mais la livraison a Est un peu cher,1
Cest nul,0
Magnifique.. bravo,2
كيف حذف طلب شراء من على الموقع او من خلال التطبق . يحتاج البرنامج الى تعديل من اجل تاكيد الطلب مثال تغير الوان عند التاكيد او الذهاب الى العميل واحنا فى رمضان بلاش الاتصال الساعة ١٠ صباح وشكرا,1
Jadore cette application mais tout est trop chère ,1
Vous devez amélioré votre service après vente. Cest vraiment null. Jessaye de vous appelez depuis 9h00 du matin et maintenent il est 14h38 toute vos lignes sont occupé Cest ça votre service clientèle ,0
الكدب,0
nulle de chez nulle bande d incompétant,0
وياسر فيكم,0
La majorité des produits ne sont pas bien... Loin de la réalité de ce qui est présenté sur photo. Et la livraison nest pas gratuit.. Je passe la commande et jannule quand la livraison nest pas gratuit,1
زباااااااااااااالة,0
Cest 2maissiil viens sa sera 5,0
مشكلة إتصالات تونس معظم الخدمات غير متاحة مثل متابعة الإستهلاك قراءة فاتورة الهاتف إضافة إلى عدم إمكانية شحن الهاتف القار عن طريق الجوال عموما خدمات رديئة جدا إضافة إلى ضعف الشبكة. عموما التقييم رديء,0
Les meilleurs airpods du monde vestion black je ne suis pas un bot,2
Appli Bonne mais la livraison prend un peu de temps,2
والله أنا لسه أول مرة نتعامل معه,1
Pratique lappli bien programmer,2
il ne se soucie pas de la clientèle quand il ya un problème avec un article avec garantie est défectueux dans le délai et bien dautres choses encore,0
موقع خدمة عملاء زباله و سياسة استرجاع اسواء ما يكون شركة مش محترمة جدا وأسلوب الموظفين زي الزفت,0
Très satisfait des produits achetés Très bon service,2
"Je suis vraiment déçu vous disez livraison gratuite et après je dois payer 1200 da de frais de livraison, cest quoi cette arnaque ",0
Bravo léquipe Julia Bon travail Ni,2
عند الدفع بالبطاقة البنكية الرمز بيتاخر كتير لكن من الموقع بيوصل بسرعة,2
"Jespère le sérieux , pour une première initiative de ma part et de 
loriginalité du matériel merci",1
Bonne réactivité,2
Je trouve jumia meilleur des fournisseurs,0
نشكركم على تقتكم وتفهمكم,2
Pourquoi chaque fois que je valide ma commande elle nest pas finalisée en rejetant mon adresse et je la change en vain.que dois-je faire merci,1
انا طلبت منتج لسه ماجاس بقالو شهر ل. كده,1
بس ما كان هذا البرنامج الرائع الذي لا يمكن الربط الشبكي المتعدد المستويات في كل شيء صحيحا تمام الساعة العاشرة صباحا حتى الآن لم يتم الرد عليها في المادة السابقة التي كانت موجودة في المنطقة الشرقية والغربية,1
"En général, bon service... et je lai toujours recommandé...sauf une chose qui gêne La question qui se pose : si on achète 2 ou 3 articles du même boutique et qui seront livrés le même jour du coup même colis, pourquoi on paye deux fois ou trois fois les frais de la livraison  Alors quil sagisse du même boutique et même colis",1
"١٠٠/١٠٠ روعة tooooooop مواعيد مضبوطة اسعار في متناول الجميع احسن خدمة 
وتطبيق جزائري شكراا حقا شكراا",2
Depuis que jai découvert le site dachat par internet JUMIA je suis collé callé comme callé-grégoire. Les amis nhésitez   pas vous serez conquis.,2
تطبيق فاشل بكل صراحة,0
Ça ne marche plus comme avant on ne peut plus acceder au menu profil et inbox. Plus aucun interet pour les annonceurs,0
jaimerai avoir jumia à linterieur,0
دخلت بحساب فيسبوك وكل لم اشترى حاجه رقم الهاتف غيرصحيحه,2
Very beautiful,0
Aww,2
Bingerville nest pas dans la liste des lieux de livraison.,1
لاابئس به,1
Hi Jumia Can you explain to me why the Gumia app does not accept my purchase voucher number,1
Vous faites du bon travail..,2
J ai fais ma commande depuis 3 mois mais je n ai reçu rien .. o f l application 3amlin bien reçu . 3mlte réclamation ms sans résultat,0
التطبيق ضعيف جدا وينقصه الترتيب,0
La vie facile,2
Livraison à domicile impeccable. Le problème est le service après vente pour des explications supplémentaires sur certains achats.,2
"Je suis très fière de vous, franchement jadore",2
جميل جدا عروضه قويه,2
Très bon design,1
marque dinformations et seems clarete  les regions concernees vos no de tel les tarifs presentation de ticket prix du transport merci,0
ارجو حل مشكلتى كل ما اعمل طلبيه  واجى لحد الدفع بيكون مفيش دفع عند استلم اى طلبيه كدا لازم الدفع بى الفيزا ارجو حل المشكله مع العلم مفيش مره عملت الغاء لى طلبيه ولا حتى منتج مستورد,0
"Application intelligente, facilite lachat, pointe rapidement les centres dintérêt",2
Depuis 2 semaines ne fonctionne pas,0
"Magnifique Très cool, cette application ma plu ",2
Aziz Mabrouk,1
mercii,2
Jadore vraiment faire du shopping sans se déplacer avec surtout à un prix abordable,1
Seul défaut naffiche pas les virement entrants en instance,1
يا ربي خلونا نربحوا تلفون على راحتنا وخلندورو او نربحوا,0
تطبيق مره روعه عامل تخفيضات كثيروانصح كل الناس ينزلوا,1
مجهود فاشل.بالتوفيق.,0
en lélevage,1
لماذ لا ترسلو الى مدينة السمارة وانتم كتبتموها في العنوان,2
الدخيله,2
"impossible de faire lenregistrement en ligne, le numéro de réservation et ladresse email sont sois disant incorrects. Alors comment fait on est ce que je vais devoir payer mon enregistrement directement à laéroport  Un peu plus dinfos svp cest la moindre des choses ",0
Wander full,2
Pas mal mais il manque beaucoup de fonctionnalités. Lexpérience utilisateur est moyenne et y a des bugs.,1
شنو هي انواع البطاقات الي يمكن تستعمل لشراء من جوميا مثل توفير و منحتي,0
Tres appreciable,1
"Un cas de non respect des clients  Loin dêtre professionnel   jai installé lapplication et je crée un compte, jattend 3 jours pour validation et enfin vous me répondez en 2 mots que vous ne pouvez pas accepter ma demande sans aucun motif et sans aucune raison  Sachant que je suis un professionnel et je travaille en offshore, jai deux comptes courant en France et un CCP en Tunisie..  Messieurs, vous manquer beaucoup de respect envers vos clients.  Bien cordialement MM",0
Bonjour jai passé une commande de slime... Jai reçu après un mail de votre part que la commande est annulée suite à une discussion téléphonique. Par contre je nai pas annulé ni appelé pour annuler ,0
